"KOID"	"B1T24"	"B2T24"	"B3T24"	"B1T48"	"B2T48"	"B3T48"
"K13049"	994	1491	195	1276	1118	418
"K13157"	0	1	1	0	2	5
"K13163"	29	21	10	2	6	0
"K13280"	175	138	254	167	308	386
"K13292"	898	870	1717	2367	2678	2830
"K13378"	109	107	344	243	383	479
"K13479"	216	234	118	443	316	483
"K13524"	73	87	135	61	133	132
"K13525"	11	14	38	88	134	181
"K13542"	477	441	672	842	1126	1468
"K13566"	82	91	325	213	337	410
"K13581"	7	6	16	40	41	82
"K13626"	783	1149	609	471	601	513
"K13652"	363	802	1218	515	850	1190
"K13653"	957	1645	234	663	789	445
"K13677"	351	456	452	803	1037	1556
"K13694"	74	80	157	221	321	455
"K13747"	1427	1752	4053	2055	2759	4289
"K13789"	1637	2144	3542	2229	2292	2652
"K13864"	3	5	13	21	31	57
"K13919"	1063	1991	365	1060	814	3025
"K13920"	873	1615	327	903	716	2614
"K13922"	827	1621	504	960	786	2665
"K13940"	25	24	16	14	34	104
"K13954"	280	232	354	446	943	863
"K13989"	20	18	34	108	118	91
"K13993"	6810	7141	15288	10892	2927	4792
"K14026"	54	95	14	43	54	124
"K14086"	7	11	24	21	55	152
"K14088"	2	0	5	7	11	32
"K14090"	6	8	35	33	71	184
"K14155"	1656	2183	6508	3515	4637	5138
"K14170"	1041	1274	1482	2134	2646	2930
"K14205"	13	15	1	24	24	59
"K14260"	448	630	637	328	608	902
"K14333"	6	7	16	48	63	64
"K14379"	33	24	60	106	176	222
"K14380"	9	17	28	50	91	86
"K14392"	19	25	4	18	84	100
"K14415"	243	240	487	596	872	1310
"K14440"	11	10	80	98	103	227
"K14441"	2002	2863	4764	4158	3717	5041
"K14445"	176	216	401	507	804	1095
"K14534"	892	2446	347	766	557	1681
"K14540"	962	1007	1182	1514	1728	2131
"K14591"	71	71	14	17	12	90
"K14623"	277	315	506	358	693	776
"K14652"	805	1044	1159	805	1331	1935
"K14731"	67	67	117	303	313	474
"K14742"	480	620	1102	1098	1200	1317
"K14761"	266	365	520	697	713	774
"K14943"	12	15	10	15	36	23
"K14945"	84	229	444	44	82	86
"K14989"	9	12	1	0	10	37
"K15024"	1051	1735	424	1265	830	592
"K15051"	326	340	597	459	924	1237
"K15187"	42	51	105	121	258	344
"K15293"	18	11	51	47	64	196
"K15342"	910	1185	970	857	1588	1477
"K15372"	90	91	13	182	402	125
"K15374"	2	5	0	5	13	19
"K15377"	1	4	1	1	0	4
"K15446"	5	7	12	27	47	43
"K15460"	74	69	155	266	336	525
"K15531"	477	516	1175	567	814	1300
"K15532"	510	572	1579	889	1431	1569
"K15533"	952	902	1639	1411	2126	2703
"K15538"	82	79	148	165	341	354
"K15580"	8359	9407	28410	22844	17199	21318
"K15581"	914	1453	5127	5611	4339	5776
"K15582"	1018	1578	5742	5657	4517	6158
"K15583"	1140	1634	5792	5507	4582	6695
"K15584"	208	185	278	573	951	853
"K15585"	87	92	66	192	356	240
"K15586"	70	111	109	225	351	311
"K15587"	65	105	100	151	275	225
"K15598"	147	175	29	199	400	169
"K15599"	80	113	23	132	221	99
"K15600"	17	33	4	5	8	21
"K15601"	33	67	12	77	103	194
"K15633"	4481	6555	8641	9270	7198	10558
"K15635"	537	617	429	798	1061	735
"K15725"	55	65	117	165	295	444
"K15726"	606	768	1258	1546	2390	3343
"K15727"	162	159	317	406	607	899
"K15738"	871	912	1736	1268	2026	2871
"K15770"	20408	39985	34098	5988	3963	10590
"K15771"	4655	8375	7662	1569	1622	3325
"K15772"	4622	8908	6024	1183	1151	2421
"K15866"	39	38	8	371	229	232
"K15876"	76	61	140	146	215	302
"K15898"	95	117	46	26	43	13
"K15921"	3159	4887	634	3847	3571	1024
"K15922"	411	345	720	430	1079	1326
"K15923"	1724	1964	3150	3273	4876	6127
"K15924"	154	429	681	202	376	500
"K15977"	217	444	582	96	102	115
"K15986"	1322	1512	2784	2221	2457	3400
"K15987"	1560	2713	4687	2505	2027	4262
"K16052"	178	159	378	538	600	708
"K16053"	423	628	1059	737	1031	1383
"K16055"	20	19	65	116	114	214
"K16089"	612	703	1869	1221	1615	2438
"K16197"	5	6	5	25	29	27
"K16203"	71	61	124	442	371	486
"K16212"	2897	3999	578	2579	1493	1411
"K16213"	325	417	273	339	524	476
"K16251"	5	3	2	11	9	18
"K16264"	94	133	215	156	235	327
"K16328"	256	327	549	1018	1017	873
"K16329"	77	479	146	700	397	355
"K16345"	129	163	247	371	585	821
"K16363"	229	447	1292	290	442	551
"K16371"	15	12	19	76	70	90
"K16484"	24	28	4	6	6	79
"K16511"	557	747	1387	560	733	1006
"K16662"	2	7	21	24	58	38
"K16684"	3	3	5	69	69	54
"K16726"	278	321	740	924	1034	881
"K16785"	1247	1582	2834	2922	3951	4465
"K16786"	2326	2720	4584	5830	7844	7537
"K16787"	971	1111	2115	1984	2403	2695
"K16789"	346	338	554	695	955	871
"K16849"	4	3	2	35	33	31
"K16850"	60	29	60	247	264	310
"K16898"	2966	3527	4748	4734	6489	6683
"K16899"	2001	2353	3250	3501	5058	5081
"K16924"	265	303	1317	720	578	863
"K16925"	10	5	45	58	99	85
"K16926"	241	330	427	812	1118	1566
"K16927"	29	33	11	64	148	233
"K16936"	91	162	196	159	303	400
"K16950"	144	153	48	116	196	217
"K16951"	101	92	45	112	118	134
"K16960"	106	96	244	566	438	552
"K17073"	77	164	62	178	193	362
"K17074"	74	118	60	136	212	334
"K17076"	103	150	75	167	193	329
"K17077"	403	483	1176	1204	1189	1122
"K17103"	775	1135	1552	426	733	1053
"K17213"	84	90	142	42	50	46
"K17234"	219	252	222	173	130	73
"K17235"	103	113	75	50	38	21
"K17236"	84	76	63	30	40	19
"K17318"	8380	11096	20741	160277	120149	111118
"K17319"	4101	5064	7596	70920	67009	47818
"K17320"	3693	4705	7784	77039	64969	52963
"K17535"	7	2	7	22	32	29
"K17551"	118	92	32	117	72	68
"K17675"	436	407	809	472	1006	1272
"K17680"	254	277	497	811	1147	1697
"K17686"	888	1159	2892	4232	3566	4412
"K17716"	74	89	158	239	259	491
"K17722"	6	6	4	252	142	572
"K17723"	151	169	34	737	860	877
"K17734"	260	280	414	307	641	755
"K17751"	282	473	44	368	398	177
"K17758"	1693	2331	2160	3042	3727	4214
"K17810"	160	133	303	577	619	1211
"K17818"	22	22	24	84	113	128
"K17828"	1043	1242	1440	1841	2224	2777
"K17836"	272	318	693	1012	1083	1343
"K17865"	229	235	79	433	280	1016
"K17898"	530	300	86	293	305	334
"K17899"	101	39	13	46	29	34
"K17992"	120	115	91	294	246	357
"K18011"	1286	1578	815	3107	1621	1541
"K18012"	3303	3339	1151	5702	2888	2967
"K18013"	974	986	440	1692	894	870
"K18014"	903	709	496	981	662	620
"K18104"	15	13	46	39	91	229
"K18118"	1186	1159	226	14631	8766	4797
"K18119"	18	18	32	87	115	102
"K18120"	47	41	77	182	309	266
"K18122"	272	612	173	237	349	437
"K18138"	232	242	579	578	931	1248
"K18139"	139	281	404	219	339	534
"K18220"	500	591	607	1229	2204	1811
"K18234"	67	98	187	152	215	280
"K18330"	56	68	107	90	120	145
"K18331"	692	925	1001	1304	1484	1914
"K18332"	826	1076	1147	1373	1751	2182
"K18344"	14	11	25	69	67	111
"K18345"	43	44	39	189	185	232
"K18346"	78	92	56	200	257	246
"K18348"	15	6	44	151	171	296
"K18349"	129	158	138	305	492	444
"K18350"	235	278	240	524	721	746
"K18369"	366	417	845	1209	1136	1209
"K18411"	1	1	0	0	4	1
"K18429"	27	26	100	108	115	301
"K18430"	118	121	495	241	352	568
"K18471"	94	86	182	296	370	359
"K18475"	1425	1644	1620	1188	2125	2148
"K18581"	194	240	273	241	384	496
"K18625"	1	0	0	3	8	7
"K18640"	473	507	686	742	1496	1466
"K18672"	1366	1743	2406	2589	2202	2352
"K18682"	4616	7245	7755	7402	5485	8584
"K18691"	206	321	674	490	702	925
"K18704"	304	461	127	194	338	564
"K18707"	1120	1412	1500	2260	2684	3276
"K18785"	8812	12927	2584	10117	3961	2407
"K18816"	99	93	25	191	251	47
"K18831"	51	83	96	141	75	158
"K18856"	4	5	13	69	64	97
"K18866"	3	8	7	43	63	83
"K18887"	8	18	9	27	37	65
"K18888"	14	16	6	28	25	92
"K18889"	906	932	1394	1220	1877	1822
"K18890"	735	891	1462	1901	2614	2728
"K18910"	17	13	26	79	95	153
"K18928"	501	968	1763	289	279	382
"K18929"	819	1435	2720	457	513	687
"K18979"	33	35	56	137	216	258
"K19002"	2989	3523	6490	7478	4810	7795
"K19005"	58	65	123	100	254	219
"K19055"	225	293	415	241	506	878
"K19068"	76	75	207	248	248	521
"K19091"	4	10	0	3	3	9
"K19117"	1058	1291	1190	1073	1969	1806
"K19118"	754	871	849	590	1041	1047
"K19119"	526	583	566	662	1070	1084
"K19134"	18	28	6	14	42	96
"K19138"	39	26	20	9	15	0
"K19139"	86	89	60	30	26	17
"K19140"	115	147	100	25	59	24
"K19147"	24	34	60	36	107	80
"K19157"	145	164	803	792	637	858
"K19158"	624	779	752	635	581	685
"K19165"	335	676	99	336	315	86
"K19166"	78	85	145	512	331	610
"K19171"	313	430	601	236	505	512
"K19221"	245	301	471	524	470	806
"K19225"	464	531	879	731	1124	1489
"K19265"	986	1393	1413	1100	1643	2153
"K19271"	167	313	642	298	366	554
"K19294"	1059	1259	1633	2494	2965	2781
"K19302"	529	775	1217	2023	1867	2005
"K19309"	604	854	1412	6742	5258	3718
"K19310"	400	624	1174	7338	5234	3682
"K19350"	272	308	124	642	1023	430
"K19355"	3551	4620	902	5918	4199	3582
"K19405"	29	64	9	82	43	159
"K19411"	11	26	11	43	17	91
"K19510"	103	123	50	81	33	424
"K19511"	24	22	33	256	250	195
"K19689"	570	777	1236	1706	1958	1753
"K19703"	41	41	77	218	147	242
"K19789"	49	68	111	150	281	358
"K19802"	470	578	1675	1447	1266	1266
"K19871"	0	3	1	1	9	2
"K19955"	321	412	931	415	599	727
"K19956"	19	38	8	199	47	148
"K19997"	231	284	702	1208	1362	1483
"K20028"	36	41	58	90	109	144
"K20074"	1300	1515	2540	2066	2749	3145
"K20116"	2983	4243	8579	1739	1800	3716
"K20160"	18	11	18	30	45	149
"K20265"	255	251	608	395	603	825
"K20317"	13	11	22	20	29	46
"K20344"	2527	3133	17478	38933	28907	33509
"K20345"	535	467	953	702	1608	1944
"K20444"	1506	1917	6547	8453	6217	7306
"K20459"	144	105	245	1128	840	2481
"K20460"	20	24	93	89	196	388
"K20461"	117	132	210	804	763	1897
"K20487"	1141	1050	2095	2043	2421	2713
"K20488"	547	543	1100	1338	1237	1442
"K20489"	2	1	5	8	32	27
"K20490"	149	154	268	125	335	339
"K20491"	379	372	549	340	733	836
"K20492"	225	259	347	161	396	440
"K20509"	4174	5413	9882	16993	12888	13047
"K20534"	275	386	125	209	321	296
"K20859"	201	231	293	420	579	569
"K20866"	122	199	435	254	418	611
"K20885"	180	207	379	569	741	1199
"K21011"	125	128	112	107	213	423
"K21012"	116	133	99	110	162	379
"K21030"	53	90	10	45	53	142
"K21065"	217	240	442	713	1050	1487
"K21071"	4829	6902	6062	8712	8640	9303
"K21140"	178	174	249	167	304	375
"K21147"	49	44	88	172	228	269
"K21393"	14	5	32	32	45	159
"K21394"	0	2	23	16	18	96
"K21395"	2	6	30	11	29	101
"K21399"	80	37	17	45	43	46
"K21400"	292	160	66	154	149	214
"K21405"	19	17	67	128	167	170
"K21416"	15	18	12	52	75	108
"K21417"	6	10	11	58	69	84
"K21467"	397	360	724	524	1277	1470
"K21470"	122	158	404	338	528	674
"K21471"	1880	2370	2119	460	753	1215
"K21472"	184	207	125	79	87	26
"K21498"	128	309	421	55	115	152
"K21556"	126	227	345	141	236	340
"K21561"	12	7	17	5	31	18
"K21571"	602	966	2650	1086	1687	2127
"K21572"	17057	33110	72363	28648	45336	60393
"K21573"	678	1443	4120	816	1039	1416
"K21574"	529	807	1981	904	1455	1984
"K21575"	123	191	421	411	616	863
"K21600"	306	390	574	589	723	899
"K21613"	90	123	65	37	40	12
"K21636"	3594	3992	5808	11476	9908	14628
"K21672"	695	310	74	166	164	223
"K21763"	16	6	19	23	39	41
"K21898"	348	241	95	451	401	488
"K21903"	520	663	2405	3717	2472	1889
"K21929"	98	103	190	369	435	468
"K21993"	7	5	0	19	16	23
"K22010"	486	631	652	940	1186	1450
"K22024"	0	0	0	12	16	9
"K22074"	20	9	1	65	42	188
"K22129"	2	2	1	9	4	21
"K22130"	54	77	148	121	218	290
"K22132"	771	859	1391	1912	2245	2389
"K22230"	17	41	3	41	61	114
"K22278"	242	315	121	399	419	792
"K22373"	5495	11668	51	1926	998	3963
"K22431"	2667	4489	15927	16426	12282	15697
"K22477"	96	124	121	61	127	235
"K22863"	5	2	12	55	55	120
"K22900"	398	413	921	781	959	1296
"K22927"	2900	3410	4235	4217	5045	5352
"K22942"	11	13	11	29	66	47
"K22958"	24	27	39	128	183	214
"K23004"	51	63	115	183	250	360
"K23059"	1658	2391	6304	1868	1332	2380
"K23060"	822	966	2257	1820	1956	2270
"K23149"	9	12	21	113	133	255
"K23163"	303	291	379	262	613	656
"K23169"	81	95	56	36	63	14
"K23170"	352	529	142	284	447	187
"K23259"	79	90	39	36	32	13
"K23335"	8	7	13	31	51	66
"K23351"	1383	1913	2818	3262	2528	2971
"K23356"	33	49	18	33	39	84
"K23393"	280	332	108	258	428	455
"K23487"	15	28	15	13	15	4
"K23508"	455	451	526	2523	1123	5686
"K23509"	230	191	215	450	317	1557
"K23518"	484	483	830	788	1132	1161
"K23535"	914	1171	2372	3321	2819	2876
"K23536"	850	957	2067	3035	2583	2670
"K23537"	1442	1733	3098	4904	4119	4116
