"KOID"	"B1T24"	"B2T24"	"B3T24"	"B1T48"	"B2T48"	"B3T48"
"K06438"	288	313	240	674	1060	628
"K06442"	822	1001	1968	1461	1461	1967
"K06518"	211	219	307	603	669	810
"K06603"	696	785	998	143	264	315
"K06714"	82	82	141	416	503	666
"K06726"	13	4	12	25	42	28
"K06839"	55	69	10	120	196	50
"K06859"	13	12	10	42	47	71
"K06861"	85	125	345	187	272	401
"K06864"	174	182	147	252	220	421
"K06871"	1665	2023	3222	3895	4327	5160
"K06872"	1331	2196	4151	2919	2736	3469
"K06877"	489	585	1532	2449	2822	2630
"K06880"	141	148	68	62	83	23
"K06881"	1105	1522	3595	3351	3489	4565
"K06885"	117	142	287	234	456	557
"K06889"	1734	2073	3373	2940	4035	5818
"K06890"	4133	4155	8886	10867	4903	9471
"K06894"	905	1592	2951	1202	1675	2255
"K06895"	1098	551	166	240	155	146
"K06896"	1	8	1	4	25	23
"K06897"	144	230	240	504	562	1026
"K06898"	97	150	86	198	201	319
"K06901"	1540	2009	1777	1434	1963	2839
"K06902"	833	987	1545	1509	1569	2010
"K06904"	1	0	13	9	22	54
"K06905"	16	13	24	87	70	69
"K06907"	174	191	136	305	439	278
"K06908"	4	13	10	42	55	46
"K06909"	23	16	31	74	154	161
"K06911"	1353	2156	4104	1160	602	841
"K06915"	66	112	239	128	301	290
"K06919"	539	498	725	6551	2387	1797
"K06920"	103	140	261	209	286	429
"K06921"	2136	2343	3905	2717	4944	5730
"K06923"	906	1144	1291	1595	2330	2504
"K06925"	542	646	902	798	972	1401
"K06928"	17	8	22	52	47	87
"K06934"	194	205	297	138	332	412
"K06940"	91	90	97	95	111	164
"K06941"	1273	1927	3395	2451	2812	3404
"K06942"	1995	2788	4726	2939	2905	4064
"K06946"	129	122	42	31	41	7
"K06949"	1169	1359	3023	2651	2836	3674
"K06950"	1787	2334	3851	3799	2401	3333
"K06952"	20	24	4	20	43	79
"K06958"	895	1221	1532	1320	1557	1985
"K06959"	1539	1802	2145	2301	4040	4915
"K06960"	1716	2333	5527	4770	3579	3983
"K06967"	823	999	891	1392	1431	1574
"K06969"	2168	2390	4227	4439	5533	6679
"K06970"	120	85	219	237	398	569
"K06972"	1499	2015	3159	2516	3120	4033
"K06973"	590	832	2164	794	1084	1334
"K06975"	797	1425	1627	287	212	245
"K06978"	140	110	156	241	405	302
"K06987"	798	1066	475	1145	1721	1371
"K06989"	113	187	388	207	275	340
"K06993"	286	299	421	268	493	633
"K06996"	38	49	89	76	124	180
"K06997"	1422	1972	2129	1828	1897	2187
